model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,fold
rolling_momentum_21d,17920,256,0.010000352650012027,0.07261031118688833,0.49313616071428573,0.01627784721870165,0.025854224100990253,1.2147373041045009,2.091945153369987,0.9282085821904054,-0.012400565419103761,0.06543860998151473,-0.18949921800916475,-0.3624921106945679,-0.013504729450631636,-0.06298699895417784,0.19329011524822695,0.0,10.0,50.4,fold_2019_2021_to_2023
ridge_price_only,17920,256,0.0018800609009717636,0.029614687959181003,0.5026785714285714,0.016147777254922172,0.011345511261689475,1.8585392609824742,1.3312801421968168,0.5906969651169428,-0.023842471269561766,0.050812398027498595,-0.46922546849016517,-0.2191083297370821,0.09264715707726819,-0.12110461597237723,0.8349678634751774,0.0,10.0,50.4,fold_2019_2021_to_2023
lagged_return_reversal,17920,256,0.0019623041777205976,0.030270622758871327,0.5046316964285714,0.0054669127394258756,0.0012776562906482714,0.4336736555713842,0.1092089258703299,0.048456653885661255,0.00992896759137654,0.06323787121466201,0.15700983288435647,-0.2681226962597145,0.28504278033579983,0.0504328512577856,0.9164450354609929,0.0,10.0,50.4,fold_2019_2021_to_2023
ridge_wind_weather_only,17920,256,0.0018803249757911153,0.029612966313496792,0.5059709821428572,0.010070985728418153,0.0010395440209166069,1.1804414223114406,0.11944738791990604,0.05299952076127601,0.013747328173376466,0.05765821543707303,0.23842791645849695,-0.23717423199559623,0.28917521638891663,0.06982769865842015,0.8568262411347518,0.0,10.0,50.4,fold_2019_2021_to_2023
rolling_mean_5d,17920,256,0.0019503244662032986,0.03031202212163147,0.4923549107142857,-0.021806019800456475,-0.003714957302900144,-1.6868873391129897,-0.3161463764757407,-0.14027603897762472,-0.13819985873573226,0.06262894925073068,-2.206645016228177,-0.726922878157344,-0.5923576073574514,-0.7019675364354655,0.42816378546099293,0.0,10.0,50.4,fold_2019_2021_to_2023
ridge_finance_only,17920,256,0.0018822366532091513,0.02962489579203828,0.49375,-0.010046353748218797,-0.012387866212045583,-0.7374845252571524,-0.9783551452503865,-0.4341020321630475,0.004610642222588082,0.060516565564161254,0.07618810121833103,-0.22661476726367982,0.14955388687190974,0.0234191350988601,0.4927138741134751,0.0,10.0,50.4,fold_2019_2021_to_2023
ridge_full,17920,256,0.0019142487238084185,0.030033771077407158,0.47689732142857144,-0.04549585231788897,-0.04122630331977519,-3.4108875904997973,-3.7823736031124606,-1.678261800412746,0.062408729495298944,0.053519694920354334,1.1660890367213956,-0.16341129404504462,0.3975357283381615,0.3169967212459629,0.3146054964539007,0.0,10.0,50.4,fold_2019_2021_to_2023
elasticnet_full,17920,256,0.0018994501222237687,0.029822824855291547,0.48208705357142856,-0.059377808492507345,-0.046491245761783706,-3.833889026581722,-3.665797828232923,-1.6265364315404458,0.004088911481617658,0.05536293439751446,0.07385648044337101,-0.22686006670437933,0.09865559901503874,0.02076907419234366,0.3042442375886525,0.0,10.0,50.4,fold_2019_2021_to_2023
country_sector_dummy,17920,256,0.0019045979917987315,0.029874583783688635,0.48532366071428573,-0.051111750431830055,-0.04725312174273359,-3.4312087321475913,-3.397452829853611,-1.5074701500548646,-0.02233810076868987,0.060496730475934325,-0.36924476071605217,-0.42385004723707226,-0.0710165604731833,-0.11346336898382156,0.16580784574468085,0.0,10.0,50.4,fold_2019_2021_to_2023
ridge_country_features_only,17920,256,0.0019045979917987315,0.029874583783688635,0.48532366071428573,-0.051111750431830055,-0.04725312174273359,-3.4312087321475913,-3.397452829853611,-1.5074701500548646,-0.02233810076868987,0.060496730475934325,-0.36924476071605217,-0.42385004723707226,-0.0710165604731833,-0.11346336898382156,0.16580784574468085,0.0,10.0,50.4,fold_2019_2021_to_2023
zero_score,17920,256,0.0018803960343075799,0.029602213887851107,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,50.4,fold_2019_2021_to_2023
