model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
hist_gradient_boosting_full,3900,130,0.000987422201015526,0.021425988866170604,0.5128205128205128,0.0869772624670248,0.057150608264645616,3.779123788220045,2.921611478999984,2.3484992675763356,0.28565446439967085,0.10344410293229112,2.761437880964995,-0.1082325685586486,0.5120842901423477,0.44208429014234774,0.5384615384615384,10.0,84.0,fold_2019_2023_to_2024h2
lagged_return_reversal,3900,130,0.0011791561812334287,0.02253409851313561,0.5053846153846154,0.0583856912182637,0.05209701962756716,2.1286318987997355,2.3280212257515975,1.871349487390147,0.09547041578023645,0.12004143645311512,0.7953121738719325,-0.1823677645636716,0.26508516727893733,0.14775183394560404,0.9025641025641025,10.0,84.0,fold_2019_2023_to_2024h2
ridge_wind_weather_only,3900,130,0.0009912152532708003,0.021438121790014954,0.5243589743589744,0.03724379541964423,0.019296449747632328,1.864994337199793,1.0856428567884968,0.872679845470062,0.03380863937953024,0.0901784642672737,0.37490812972071863,-0.13192207199810088,0.1569895609445111,0.05232289427784442,0.805128205128205,10.0,84.0,fold_2019_2023_to_2024h2
ridge_finance_only,3900,130,0.0009917235329909456,0.02142520781008453,0.5082051282051282,0.03149677772690272,0.004721255803128776,1.2515780218986594,0.2388125320010905,0.19196633793504284,-0.01611961059808309,0.11040237184957274,-0.14600782870903034,-0.24206739614658873,0.047552983598204715,-0.02494701640179526,0.5576923076923077,10.0,84.0,fold_2019_2023_to_2024h2
ridge_price_only,3900,130,0.0009952450489062405,0.021452196598538566,0.488974358974359,-0.037011019392260903,-0.004461435376427264,-1.831777879739552,-0.25820636879133557,-0.2075558205971849,-0.0842025421879579,0.09603686859395688,-0.8767730916338555,-0.15858325230580467,-0.06348012481469678,-0.13031345814803008,0.5141025641025642,10.0,84.0,fold_2019_2023_to_2024h2
elasticnet_full,3900,130,0.000993546495509455,0.02145632907375278,0.4930769230769231,-0.0014683587593391143,-0.009107784821063464,-0.0691310957247634,-0.5175156986482287,-0.41599824205599895,-0.07427062371627555,0.10804168194190014,-0.687425652594106,-0.20725349607055327,-0.04394263194185501,-0.11494263194185501,0.5461538461538461,10.0,84.0,fold_2019_2023_to_2024h2
rolling_mean_5d,3900,130,0.0010827440586093093,0.022335778632875294,0.49230769230769234,-0.03597943991732151,-0.017198660130638112,-1.3256816910052038,-0.7917553236568788,-0.6364421864690567,-0.12183910491931188,0.11718974300116614,-1.03967379566742,-0.23030489458424117,-0.13489385285131603,-0.18856051951798267,0.4128205128205128,10.0,84.0,fold_2019_2023_to_2024h2
ridge_full,3900,130,0.0009974318037005582,0.021555890332441093,0.48794871794871797,-0.015969291851103573,-0.02733461448955338,-0.8725272403038253,-1.822935468635418,-1.4653428916546318,-0.006979188387494177,0.08762859603514572,-0.07964510106603775,-0.16435243827767054,0.04019887511459238,-0.010801124885407656,0.3923076923076923,10.0,84.0,fold_2019_2023_to_2024h2
rolling_momentum_21d,3900,130,0.010862435749628533,0.06848355689695186,0.488974358974359,-0.00358884277175493,-0.03460115229808562,-0.131813462980889,-1.38463515388592,-1.1130209023804112,-0.13444952255953138,0.1281280233297425,-1.0493373663739451,-0.43136701529780536,-0.18240997538975096,-0.20807664205641763,0.19743589743589743,10.0,84.0,fold_2019_2023_to_2024h2
country_sector_dummy,3900,130,0.0009994776305264662,0.021553822664164925,0.4694871794871795,-0.07763332965150792,-0.08351899470928387,-4.211749874131966,-5.179820329918865,-4.163730988336363,-0.23079796428923777,0.0868079184570939,-2.658720176585193,-0.4458720396347583,-0.3561873256857251,-0.3571873256857251,0.007692307692307693,10.0,84.0,fold_2019_2023_to_2024h2
ridge_country_features_only,3900,130,0.0009994776305264662,0.021553822664164925,0.4694871794871795,-0.07763332965150792,-0.08351899470928387,-4.211749874131966,-5.179820329918865,-4.163730988336363,-0.23079796428923777,0.0868079184570939,-2.658720176585193,-0.4458720396347583,-0.3561873256857251,-0.3571873256857251,0.007692307692307693,10.0,84.0,fold_2019_2023_to_2024h2
zero_score,3900,130,0.0009930238136887522,0.021445737203203315,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2023_to_2024h2
