model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_mean_5d,7680,256,0.000848294621884006,0.020647901486675176,0.51640625,0.03438761136310259,0.03436665668167707,2.498869805065002,2.7484382631169906,2.7268815517581992,0.3274903044406823,0.27234714702545954,1.202473783983013,-0.2899335872821942,0.5130218965746614,0.332688563241328,0.7044270833333333,10.0,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0007708142643319733,0.019562759591953992,0.5100260416666667,0.008031786479263774,0.017912518188492346,0.6402802787850265,1.5174000816539854,1.505498720792081,-0.09535912717613988,0.23800566338441395,-0.40065906760429043,-0.37922824916839415,0.144793902551223,-0.0968727641154437,0.9440104166666665,10.0,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.0007709170530811831,0.019580097902343777,0.5057291666666667,0.020713103633679914,0.017884719064321965,1.3217858980213406,1.145651153114212,1.1366655151404699,-0.13561590835374088,0.2145185742699184,-0.6321872537857812,-0.3382217212091699,0.14489812484699333,-0.13776854181967327,1.1041666666666667,10.0,fold_2019_2021_to_2023
rolling_momentum_21d,7680,256,0.010117517521719629,0.07170585332077099,0.519140625,0.02308493044577336,0.01677745032074994,1.7991818102170556,1.5825847180302322,1.570172097224727,0.5738373265374515,0.30021690794597217,1.9114090890601034,-0.36545583430953343,0.6711125221967762,0.5829458555301095,0.34440104166666663,10.0,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.000770702190535953,0.019589931433335008,0.5220052083333333,0.030385712856582568,0.01640418655934131,1.9443806836345428,1.0955562241339094,1.0869634936302237,-0.7061350858532753,0.1855097815421661,-3.8064574276519854,-0.8115803970738519,-0.4816769126128511,-0.7173435792795178,0.9205729166666666,10.0,fold_2019_2021_to_2023
ridge_full,7680,256,0.0007826308794730681,0.019815601309211162,0.49375,-0.009330058690029388,0.003321768292887814,-0.4990788633422061,0.22014946455359213,0.21842277542731275,-0.0109169541125727,0.20989222836302196,-0.052012188339299235,-0.5264219844199283,0.13740976090151358,-0.011090239098486554,0.580078125,10.0,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.0007735720228420895,0.01964564059375656,0.4837239583333333,-0.03176391147476989,-0.001812979764250126,-1.3748666583460907,-0.11263060759394763,-0.11174721664038315,-0.48267194878102415,0.20382509369480098,-2.3680693089917404,-0.669479876287674,-0.42900007495215153,-0.49033340828548483,0.23958333333333331,10.0,fold_2019_2021_to_2023
hist_gradient_boosting_full,7680,256,0.0007919813193156182,0.01980018119375455,0.483984375,-0.02579542271516558,-0.0030028671903801884,-1.5613127260697621,-0.23432906151426708,-0.23249115814571522,0.15108133430846063,0.22117600321121095,0.6830819443110483,-0.2706207239333061,0.3421461173927218,0.15347945072605523,0.7369791666666666,10.0,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0012836656995142456,0.02513750120893752,0.48020833333333335,-0.02740275794790148,-0.029110017630174352,-1.9727531568639027,-2.3865896445002344,-2.3678710053411263,-0.5388630870726928,0.26257247996426275,-2.0522451063646674,-0.6464792615995919,-0.15658313607384677,-0.54741646940718,1.5266927083333333,10.0,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.000780891415265408,0.019759756041165043,0.47161458333333334,-0.06613398250232633,-0.06365657632284043,-2.943988916848068,-3.552216200727409,-3.524355251347283,0.5447180019513802,0.16769778507946362,3.248212262870768,-0.16956884941502975,0.5825309861093386,0.553364319442672,0.11393229166666666,10.0,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.000780891415265408,0.019759756041165043,0.47161458333333334,-0.06613398250232633,-0.06365657632284043,-2.943988916848068,-3.552216200727409,-3.524355251347283,0.5447180019513802,0.16769778507946362,3.248212262870768,-0.16956884941502975,0.5825309861093386,0.553364319442672,0.11393229166666666,10.0,fold_2019_2021_to_2023
zero_score,7680,256,0.0007704393157139934,0.01956317132621188,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2021_to_2023
