model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,max_group_net_exposure,tx_cost_bps,periods_per_year,portfolio_mode,selection_buffer,fold
rolling_momentum_21d,17920,256,0.008708759666494656,0.06745695087055757,0.49955357142857143,0.008773318384937823,0.018664799341597437,0.6531384510737033,1.5369375969574854,1.5248829983155232,0.01752816073186145,0.09258182060929356,0.1893261616212151,-0.09634788203068433,0.0422349569339545,0.017806385505383063,0.09542410714285712,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
ridge_wind_weather_only,17920,256,0.0003849822662515659,0.012646182985971725,0.49815848214285713,0.007171806324854818,0.012636757151542208,0.8086183282990664,1.3955693493640793,1.384623538410589,-0.11944192553901836,0.064446123342739,-1.853360905881015,-0.15805685091037017,0.039947885166711494,-0.12133782911900277,0.6300223214285714,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
lagged_return_reversal,17920,256,0.00047562396020452743,0.0143563717690273,0.5034040178571428,0.007023685360436637,0.007858426305476725,0.5130930358814111,0.6343418729992811,0.6293665658066311,-0.1439300414619906,0.08797167322849092,-1.6360953040890525,-0.17021336711664053,0.0007139261338507674,-0.1462146452947206,0.573939732142857,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
ridge_price_only,17920,256,0.00038518789466744386,0.01264966572361286,0.50390625,0.0009179907037294736,0.0017375057504738006,0.09665207336241506,0.17439531273199296,0.17302748523907113,-0.15504574663706863,0.06856824733322846,-2.2611887085807547,-0.18056145803972654,-0.021935361663053876,-0.1575067902344824,0.5295758928571428,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
rolling_mean_5d,17920,256,0.0004422005880526155,0.013892108862311636,0.4993861607142857,-0.0055356842283732065,-0.0014037199126916595,-0.42787427714819953,-0.11896495079526928,-0.11803187795149434,-0.009729441271720369,0.08564233704631305,-0.11360550876208518,-0.11612563814658833,0.05747326600968091,-0.009883876847461961,0.2631138392857143,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
ridge_finance_only,17920,256,0.0003851493901043719,0.012651975114814319,0.5002790178571429,-0.00727149914689984,-0.008135517645196226,-0.5138705910965098,-0.69811494694863,-0.6926394510611719,-0.07131668475303474,0.093952400189578,-0.7590725155411814,-0.19236207958693943,0.0027655900921552123,-0.07244869562213052,0.29380580357142855,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
ridge_full,17920,256,0.0003867264233978375,0.01270590046690324,0.4929129464285714,-0.02246159818445384,-0.021228860266044994,-1.7102574154071943,-2.048217816828998,-2.0321531153329406,-0.11759281920462103,0.08256023161781433,-1.4243276320853684,-0.23585644724054117,-0.08488794331898014,-0.11945937189040867,0.13504464285714285,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
country_sector_dummy,17920,256,0.0003860936997732437,0.012680696188223445,0.48989955357142856,-0.03032163949656355,-0.026187548227955576,-2.1683709373989344,-2.0175796709258673,-2.0017552723235172,-0.1277341255885271,0.09692085123273247,-1.3179220360106396,-0.25966315906511794,-0.12876165139151957,-0.12976165139151957,0.00390625,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
ridge_country_features_only,17920,256,0.0003860936997732437,0.012680696188223445,0.48989955357142856,-0.03032163949656355,-0.026187548227955576,-2.1683709373989344,-2.0175796709258673,-2.0017552723235172,-0.1277341255885271,0.09692085123273247,-1.3179220360106396,-0.25966315906511794,-0.12876165139151957,-0.12976165139151957,0.00390625,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
elasticnet_full,17920,256,0.0003852529967107588,0.012651131197020786,0.49190848214285715,-0.03437474346390148,-0.03666276715060617,-2.072138725723416,-2.9554431717204914,-2.9322628673836433,-0.43140445658182874,0.07242012592909046,-5.956969158051931,-0.4354280821873849,-0.11625214636884193,-0.4382521463688419,1.2578125,,10.0,252.0,buffered,0.1,fold_2019_2021_to_2023
