model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps
rolling_momentum_21d,11580,386,0.01030298720996078,0.0714409043606849,0.48065630397236614,0.025768599594806995,0.02001419020243784,1.6596058356012042,1.4092734712186368,1.1386805296982017,0.21201867074673428,0.2843935274182367,0.7455115897730471,-0.5461838016829081,0.3932587575723787,0.3247587575723787,0.17746113989637305,10.0
rolling_mean_5d,11580,386,0.001779009276424706,0.028263209639517266,0.5018998272884283,0.011071538432453842,0.019836560986222336,0.7241453477668098,1.5337350230333133,1.2392443653495213,0.3955903933607127,0.27869502088823067,1.4194383240142723,-0.2795537982452606,0.7617773485604566,0.6059440152271234,0.40371329879101897,10.0
lagged_return_reversal,11580,386,0.0018104955603475965,0.028503759144106397,0.49671848013816927,0.006048210159276463,-0.0024034291657169657,0.4014769969836004,-0.18459856461346347,-0.14915401136006748,-0.5389845887493009,0.28183589602663867,-1.9124057522408608,-1.0702611305964405,-0.4892541716556752,-0.8255875049890085,0.8713298791018997,10.0
hist_gradient_boosting_full,11580,386,0.00172631573296577,0.0277771299060531,0.4893782383419689,0.015316577266438099,-0.00903175058463986,1.0539638955138517,-0.7646459537666284,-0.6178271836151602,0.3829831895513487,0.2572664040149184,1.4886638269687955,-0.5335115847287453,0.7594663141540499,0.5866329808207167,0.44775474956822103,10.0
ridge_price_only,11580,386,0.0017276506598778941,0.0277323411827824,0.4813471502590674,-0.026300296531351356,-0.012910005312825245,-2.1763688299720263,-1.220465432438001,-0.9861253003543159,-0.15426174359744838,0.221672669937487,-0.6958987936625255,-0.7914476723843,-0.08195648027228217,-0.23628981360561535,0.39982728842832466,10.0
ridge_wind_weather_only,11580,386,0.001724436167567401,0.027730778161579605,0.5010362694300519,0.009725733460393581,-0.013892875303434162,0.8544123016280915,-1.2761215890167381,-1.0310949837751218,0.06902749891808344,0.2152989997949425,0.3206122600840105,-0.33355241535433516,0.30123259754912785,0.1057325975491278,0.5064766839378239,10.0
ridge_finance_only,11580,386,0.0017285197201066626,0.027734910838955726,0.4976683937823834,-0.009272715033573114,-0.018405683150544604,-0.6249025236074102,-1.3807030860463798,-1.1155959105763391,-0.32408681477542056,0.2742186134710544,-1.1818556394590993,-1.2587392743791708,-0.3380853591401284,-0.4964186924734617,0.4101899827288428,10.0
elasticnet_full,11580,386,0.001740715524338387,0.027912597404431826,0.4670120898100173,-0.060090708013514314,-0.0587104881927696,-4.13116868737845,-4.6369293768970135,-3.746598021527008,-0.8276781948709903,0.24220711377980655,-3.417233218110359,-1.5674896267071383,-1.1652927905563581,-1.2677927905563582,0.26554404145077715,10.0
ridge_full,11580,386,0.00175711603224455,0.028141301034549274,0.4687392055267703,-0.05507603457627988,-0.05936619815198956,-4.260427096775893,-5.24132670508459,-4.234945729664654,-0.7604411300365298,0.2442266322755442,-3.113669966912438,-1.4374445956269606,-1.0568026833099227,-1.1648026833099228,0.27979274611398963,10.0
country_sector_dummy,11580,386,0.0017475776105457703,0.028008965816682194,0.45967184801381694,-0.08373699500012428,-0.0937045792542473,-5.854839472392626,-7.716486750886459,-6.234853206532389,-0.9328069623132341,0.25938916306158183,-3.596167824836135,-1.8471887682626889,-1.418990029575033,-1.4288233629083664,0.025474956822107077,10.0
ridge_country_features_only,11580,386,0.0017475776105457703,0.028008965816682194,0.45967184801381694,-0.08373699500012428,-0.0937045792542473,-5.854839472392626,-7.716486750886459,-6.234853206532389,-0.9328069623132341,0.25938916306158183,-3.596167824836135,-1.8471887682626889,-1.418990029575033,-1.4288233629083664,0.025474956822107077,10.0
zero_score,11580,386,0.0017246675308722477,0.02770651832901766,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0
