model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,fold
rolling_momentum_21d,7680,256,0.010463674148608352,0.07282913338316944,0.49296875,0.02261810279683188,0.03449865237286035,1.1383616737098061,2.0138389451228598,1.998043885999402,0.3112134426388763,0.22676515571833078,1.3724041581831044,-0.27579970110996865,0.4048200052204457,0.3161533385537791,0.34635416666666663,10.0,fold_2019_2021_to_2023
ridge_price_only,7680,256,0.0010364563876999933,0.021078553987945,0.507421875,0.01135180360093855,0.007092048802385872,0.7926314512934952,0.5453699531191888,0.5410924756801231,-0.09112426618013014,0.1764907815663563,-0.5163117607129504,-0.23473087092361378,0.1275959835630424,-0.09257068310362428,0.8600260416666665,10.0,fold_2019_2021_to_2023
rolling_mean_5d,7680,256,0.0011362458213250493,0.022289773743990084,0.5005208333333333,-0.0009599121992792644,0.005777497493553732,-0.05043450900477569,0.37518381022944314,0.37224114667678415,0.06515162253189244,0.21122367604424444,0.308448483389927,-0.33345984786719096,0.24651910860382717,0.06618577527049391,0.7044270833333333,10.0,fold_2019_2021_to_2023
lagged_return_reversal,7680,256,0.0014894871418964723,0.02564942705982748,0.490625,0.0024913279097689336,0.0011294847498009688,0.1417660522392199,0.07323821569674306,0.07266378944988347,-0.3517395818637351,0.19415471467165224,-1.8116458436694933,-0.3973909608888822,0.032177250170173755,-0.35732274982982615,1.521484375,10.0,fold_2019_2021_to_2023
ridge_wind_weather_only,7680,256,0.0010366345549948084,0.021081322230412612,0.50546875,-0.004366096636692619,-0.0029749523688809417,-0.327516512388906,-0.2174604801142255,-0.21575488138760532,-0.06979243284288343,0.159977309545556,-0.4362645742770725,-0.3675722072363402,0.20659975076278503,-0.07090024923721491,1.083984375,10.0,fold_2019_2021_to_2023
ridge_finance_only,7680,256,0.0010407691531281113,0.02112246171380169,0.4856770833333333,-0.018598908743547787,-0.030969596507895086,-0.9361874598196043,-1.8048860241665319,-1.7907298367852844,-0.6339082760544169,0.2265726318853093,-2.797814858659983,-0.8467969443773606,-0.3959703121822647,-0.6439703121822647,0.96875,10.0,fold_2019_2021_to_2023
hist_gradient_boosting_full,7680,256,0.0010506822354922468,0.021310325008212165,0.47161458333333334,-0.006736859232631925,-0.0357255054541326,-0.38023613283423047,-2.4045438830731594,-2.3856844241824327,-0.6063265058515901,0.19013394176377635,-3.188944068728634,-0.673021011067674,-0.3786174027698694,-0.6159507361032026,0.9270833333333333,10.0,fold_2019_2021_to_2023
elasticnet_full,7680,256,0.0010440206881316147,0.021199171466741926,0.47239583333333335,-0.054942121545277986,-0.04717252717723147,-2.802467110439473,-2.6280449694478087,-2.6074325337949658,-0.7131423254431016,0.2254851663150662,-3.1627017293307946,-0.959544944432815,-0.5681287115612461,-0.7244620448945794,0.6106770833333333,10.0,fold_2019_2021_to_2023
ridge_full,7680,256,0.001058528897740379,0.021480494237304006,0.4725260416666667,-0.057951844922560614,-0.06746403570270883,-3.3747223900579995,-4.534226414095227,-4.498663304908554,-0.7237969008319061,0.19126885354426998,-3.78418591119113,-0.8883477270714333,-0.5774524071943173,-0.7352857405276506,0.6165364583333333,10.0,fold_2019_2021_to_2023
country_sector_dummy,7680,256,0.0010470185329354694,0.021265047969671873,0.464453125,-0.06887283524725886,-0.07549306062925064,-3.499448060074198,-4.16428502096787,-4.131623457702141,-0.3826320537823264,0.21044341090179752,-1.8182182665765665,-0.8565417419954995,-0.38770557844553794,-0.38870557844553794,0.00390625,10.0,fold_2019_2021_to_2023
ridge_country_features_only,7680,256,0.0010470185329354694,0.021265047969671873,0.464453125,-0.06887283524725886,-0.07549306062925064,-3.499448060074198,-4.16428502096787,-4.131623457702141,-0.3826320537823264,0.21044341090179752,-1.8182182665765665,-0.8565417419954995,-0.38770557844553794,-0.38870557844553794,0.00390625,10.0,fold_2019_2021_to_2023
zero_score,7680,256,0.0010363353983458897,0.02105457176624342,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,fold_2019_2021_to_2023
rolling_momentum_21d,3840,128,0.013957277664497445,0.08389575947618162,0.5002604166666667,0.05985510251338681,0.0659293664223845,2.106276098062219,2.810848858721963,3.9439625232533007,0.6435851161010658,0.2368274691771192,2.717527313606259,-0.22810900084921992,0.3679003764322874,0.3269003764322874,0.3203125,10.0,fold_2019_2022_to_2023h2
rolling_mean_5d,3840,128,0.001232346125785455,0.023104383580706944,0.50078125,0.009085935381532255,0.018748414907771325,0.31561195888325705,0.8261108563067713,1.1591339204228912,0.3002908791356343,0.23803751545360605,1.2615275309162834,-0.16596485998533048,0.2408620338466714,0.15252870051333806,0.6901041666666666,10.0,fold_2019_2022_to_2023h2
hist_gradient_boosting_full,3840,128,0.001124211656513069,0.02176602310723421,0.4817708333333333,0.007662933826994163,-0.0031591959662903664,0.30578840687034387,-0.14642817686431922,-0.20545652609858292,-0.1851351917918385,0.20483079841518,-0.9038445059252288,-0.11803180615251449,0.029129743851764575,-0.09403692281490209,0.9622395833333333,10.0,fold_2019_2022_to_2023h2
ridge_wind_weather_only,3840,128,0.0011135983476742656,0.021630600943225973,0.5002604166666667,-0.006886604207512129,-0.0099594534731792,-0.3478176332767143,-0.531149429704259,-0.7452671951751402,-0.21012996278935783,0.18893704033886466,-1.1121692306203326,-0.2250025690202469,0.023433987154611938,-0.10673267951205477,1.0169270833333333,10.0,fold_2019_2022_to_2023h2
