model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
rolling_momentum_21d,17920,256,0.008708759678540656,0.06745695097074862,0.49955357142857143,0.008773303393669302,0.018660702110230614,0.6531374011642804,1.5365745313496848,1.524522780325083,0.03606829401682436,0.08986952405468213,0.40134065909682803,-0.09351502719328934,0.07921223519169455,0.03664080662026602,0.16629464285714285,10.0,252.0,fold_2019_2021_to_2023
ridge_wind_weather_only,17920,256,0.00038498230192734686,0.012646183897242362,0.49815848214285713,0.007171878982738708,0.012635411317673184,0.8086266655818753,1.3953868313001454,1.3844424518829843,-0.1206260241794862,0.0662949668221504,-1.8195351768270704,-0.13035612673275365,0.09703070559544259,-0.12254072297598598,0.8577008928571428,10.0,252.0,fold_2019_2021_to_2023
lagged_return_reversal,17920,256,0.00047562398347331797,0.014356372332492784,0.5034040178571428,0.007023730228149198,0.007856235549046324,0.5130962402674446,0.6341664437232223,0.6291925124677066,-0.17811619002929455,0.08959204262348393,-1.9880804680147635,-0.19755953330160483,0.035842283144843626,-0.18094343114087066,0.8468191964285714,10.0,252.0,fold_2019_2021_to_2023
ridge_price_only,17920,256,0.00038518793078033686,0.012649666843095876,0.50390625,0.0009179848891619317,0.001746029364977631,0.09665143170632459,0.17524672085510232,0.17387221554830898,-0.19061536102177679,0.06687947207499109,-2.8501325609753954,-0.20261521404232108,0.01314471261279817,-0.1936410016729161,0.8077566964285714,10.0,252.0,fold_2019_2021_to_2023
rolling_mean_5d,17920,256,0.00044220062732860797,0.013892110101356409,0.4993303571428571,-0.005535707633744313,-0.0014091820826602763,-0.42787597438218034,-0.1194273645762439,-0.1184906649017198,-0.0668238037327784,0.08545415367226428,-0.781984267131854,-0.13856730769456993,0.029615500969875933,-0.06788449903012408,0.38085937499999994,10.0,252.0,fold_2019_2021_to_2023
ridge_finance_only,17920,256,0.000385149279619181,0.01265198631088825,0.5001674107142857,-0.007246597068003281,-0.008184152971038961,-0.5121486845331042,-0.7024208072481058,-0.6969115393858966,-0.110739153414808,0.09544228827195314,-1.1602734534116368,-0.22609701325022344,0.01743165367384583,-0.11249691775472559,0.5075334821428572,10.0,252.0,fold_2019_2021_to_2023
ridge_full,17920,256,0.00038672632422856706,0.012705909334850754,0.49296875,-0.02245489285120257,-0.02118540707488759,-1.7096752483804312,-2.0445697985962448,-2.0285337094496554,-0.14019459645949828,0.08607758279283638,-1.6287004340828874,-0.23046186972062593,-0.06220562180012527,-0.14241990751441094,0.3133370535714286,10.0,252.0,fold_2019_2021_to_2023
country_sector_dummy,17920,256,0.00038609373600344564,0.012680697303558128,0.48989955357142856,-0.030321640921172982,-0.02619527572321896,-2.1683707504052983,-2.018038874962758,-2.002210874704511,-0.12773412177008747,0.09692085254779778,-1.317921978730983,-0.25966314897292087,-0.12876164751246982,-0.12976164751246982,0.00390625,10.0,252.0,fold_2019_2021_to_2023
ridge_country_features_only,17920,256,0.00038609373600344564,0.012680697303558128,0.48989955357142856,-0.030321640921172982,-0.02619527572321896,-2.1683707504052983,-2.018038874962758,-2.002210874704511,-0.12773412177008747,0.09692085254779778,-1.317921978730983,-0.25966314897292087,-0.12876164751246982,-0.12976164751246982,0.00390625,10.0,252.0,fold_2019_2021_to_2023
elasticnet_full,17920,256,0.0003852530328783191,0.012651132297206193,0.49190848214285715,-0.03437473861436191,-0.03666276715060617,-2.0721384360388617,-2.9554431717204914,-2.9322628673836433,-0.450814039911889,0.07345706162939461,-6.13710962448151,-0.4557348310194617,-0.08796981832318887,-0.45796981832318884,1.4453125,10.0,252.0,fold_2019_2021_to_2023
