model,n_obs,n_days,mse,mae,directional_accuracy,mean_ic,mean_rankic,ic_t_stat,rankic_t_stat,icir,annualized_return,annualized_volatility,sharpe,max_drawdown,gross_pnl,net_pnl,mean_turnover,tx_cost_bps,periods_per_year,fold
ridge_wind_weather_only,17920,256,0.0011270318334894354,0.022607576852417138,0.5096540178571428,0.019805450877034184,0.018945453110662543,2.436593086856414,2.1552070157287044,1.2345499109845837,-0.015760053443592582,0.06006119403911097,-0.2623999355279195,-0.20981899801603832,0.13761221807667023,-0.04803063906618692,0.7251674107142856,10.0,84.0,fold_2019_2021_to_2023
rolling_momentum_21d,17920,256,0.009346530769933517,0.07003346100667482,0.49720982142857145,0.01421175701506585,0.018944455903287114,1.0435549934367936,1.5099170082123266,0.8649136229042806,0.05711409668489666,0.09251050606081705,0.6173795725141689,-0.2474497363847725,0.21670486608730422,0.17406200894444698,0.1665736607142857,10.0,84.0,fold_2019_2021_to_2023
lagged_return_reversal,17920,256,0.0012162328301488104,0.023507573895245982,0.5052455357142858,0.003570710455807702,0.0020598921945103738,0.2741324094708286,0.17824755618329705,0.10210411483135658,-0.08980321092284559,0.08652611628898361,-1.0378740520713652,-0.37954178464056515,-0.057043119002958026,-0.27368597614581514,0.8462611607142857,10.0,84.0,fold_2019_2021_to_2023
ridge_price_only,17920,256,0.0011279602295243979,0.022622882098940023,0.5044084821428572,0.0037856883498436204,0.00020764614858548216,0.441661039688111,0.023657382322913145,0.013551468154907464,-0.07807957888707026,0.060107738962229096,-1.2989937774258058,-0.3246382022985508,-0.045956811846309314,-0.23795681184630935,0.75,10.0,84.0,fold_2019_2021_to_2023
ridge_finance_only,17920,256,0.0011277613855171283,0.02262130312833106,0.499609375,0.001739659162885078,7.502678819595009e-05,0.11849972975916787,0.00598498807309992,0.003428332609798535,-0.0517628851271936,0.10144460856131038,-0.5102576259231116,-0.4899460753678374,-0.02896784038763761,-0.15775355467335192,0.5030691964285714,10.0,84.0,fold_2019_2021_to_2023
rolling_mean_5d,17920,256,0.001189783986279536,0.023424643022382827,0.4974888392857143,-0.008988881219128567,-9.468392924196975e-05,-0.6804496423136764,-0.0079161520157037,-0.004534545728092432,-0.00990398047169858,0.08489075137212218,-0.11666736731171176,-0.26623286283128267,0.06695929761006136,-0.030183559532795667,0.37946428571428564,10.0,84.0,fold_2019_2021_to_2023
ridge_full,17920,256,0.0011395782836239052,0.022823902455979816,0.48203125,-0.03610964277820277,-0.03325663124887823,-2.759122761674751,-3.252399270728529,-1.863045731041582,-0.0736052750131976,0.08091354347286159,-0.9096780570224909,-0.4725657808572088,-0.1659636952783165,-0.22432083813545933,0.22795758928571425,10.0,84.0,fold_2019_2021_to_2023
elasticnet_full,17920,256,0.001133025261774222,0.022701998330649086,0.4849330357142857,-0.05141158984644696,-0.03635757251286304,-3.3801517461175394,-2.8645172375464085,-1.640858383820277,-0.12017560319187423,0.09511153081652741,-1.2635229625700803,-0.6761328124248801,-0.31153517163237854,-0.3662494573466643,0.21372767857142858,10.0,84.0,fold_2019_2021_to_2023
country_sector_dummy,17920,256,0.0011363750771517963,0.022748810177945597,0.48671875,-0.04538646999904574,-0.04010634846939945,-3.210106312122244,-2.999334849954468,-1.7180848730544207,-0.11518854812919194,0.0973475664037177,-1.1832709577092508,-0.7408459159014462,-0.35005081334610877,-0.35105081334610877,0.00390625,10.0,84.0,fold_2019_2021_to_2023
ridge_country_features_only,17920,256,0.0011363750771517963,0.022748810177945597,0.48671875,-0.04538646999904574,-0.04010634846939945,-3.210106312122244,-2.999334849954468,-1.7180848730544207,-0.11518854812919194,0.0973475664037177,-1.1832709577092508,-0.7408459159014462,-0.35005081334610877,-0.35105081334610877,0.00390625,10.0,84.0,fold_2019_2021_to_2023
zero_score,17920,256,0.0011276371176041574,0.022612716836235003,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,84.0,fold_2019_2021_to_2023
